Benchmark,VMEM-RD+RW-DARM,VMEM-RD+RW-BF,LDS-INSTS-DARM,LDS-INSTS-BF,FLAT-INSTS-DARM,FLAT-INSTS-BF
SB1,1.0000,1.0000,0.8000,0.8000,1.0000,1.0000
SB1-R,1.0000,1.0000,0.6671,0.6671,1.0000,1.0000
SB2,1.0000,1.0000,0.8889,1.0000,1.0000,1.0000
SB2-R,1.0000,1.0000,0.8889,1.0000,1.0000,1.0000
SB3,1.0000,1.0000,0.8334,1.0000,1.0000,1.0000
SB3-R,1.0000,1.0000,0.8560,1.0000,1.0000,1.0000
SB4,1.0000,1.0000,0.7273,0.9091,1.0000,1.0000
SB4-R,1.0000,1.0000,0.7273,0.9091,1.0000,1.0000
BIT,1.0000,1.0000,0.7288,1.0000,1.0000,1.0000
PCM,1.0000,1.0000,0.6609,0.7442,1.0000,1.0000
MS,1.1290,1.1290,1.0000,1.0000,1.1385,1.1385
LUD,0.5405,0.5405,1.3939,1.3939,0.5405,0.5405
NQU,1.0000,1.0000,1.0085,1.0000,1.0000,1.0000
SRAD,1.0000,1.0000,0.9167,0.9167,1.0000,1.0000
DCT,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000
